timestamp,zone,sol_hum,sol_temp,sol_ph,sol_ec,air_temp,air_hum,air_co2,air_vent,eau_ph,eau_turb,eau_niveau,eau_debit
2024-01-18 20:00,A,40,23.8,6.8,1.3,26.4,57,410,7,7.1,2.2,68,3.1
2024-01-18 21:00,A,42,23.1,6.8,1.3,25.2,58,407,6,7.0,2.1,67,3.0
2024-01-18 22:00,A,43,22.5,6.8,1.3,24.3,59,404,6,7.0,2.1,67,3.0
2024-01-18 23:00,A,44,22.0,6.8,1.3,23.7,60,402,5,7.0,2.0,66,3.0
2024-01-18 00:00,B,18,28.5,5.2,0.4,32.1,44,455,15,7.8,8.5,22,0.8
2024-01-18 01:00,B,17,28.1,5.2,0.4,31.7,45,452,14,7.8,8.4,22,0.8
2024-01-18 02:00,B,16,27.8,5.1,0.4,31.3,46,449,14,7.9,8.3,21,0.7
2024-01-18 03:00,B,15,27.5,5.1,0.4,30.9,46,446,13,7.9,8.2,21,0.7
2024-01-18 04:00,B,14,27.2,5.1,0.4,30.5,47,443,13,7.9,8.1,20,0.7
2024-01-18 05:00,B,14,27.4,5.2,0.4,30.8,46,445,13,7.8,8.2,20,0.7
2024-01-18 06:00,B,15,28.0,5.2,0.4,31.5,45,450,14,7.8,8.3,19,0.8
2024-01-18 07:00,B,15,28.8,5.2,0.5,32.4,44,456,15,7.8,8.5,19,0.8
2024-01-18 08:00,B,16,29.5,5.3,0.5,33.2,43,461,16,7.9,8.7,18,0.8
2024-01-18 09:00,B,16,30.1,5.3,0.5,33.9,42,465,17,7.9,8.9,18,0.9
2024-01-18 10:00,B,17,30.8,5.3,0.5,34.5,41,469,18,8.0,9.1,17,0.9
2024-01-18 11:00,B,17,31.5,5.4,0.5,35.1,40,473,19,8.0,9.3,17,0.9
2024-01-18 12:00,B,18,32.2,5.4,0.5,35.8,39,477,20,8.0,9.5,16,1.0
2024-01-18 13:00,B,18,32.8,5.4,0.5,36.4,38,481,21,8.1,9.7,16,1.0
2024-01-18 14:00,B,19,33.1,5.5,0.5,36.8,38,483,21,8.1,9.8,15,1.0
2024-01-18 15:00,B,19,32.9,5.5,0.5,36.5,39,481,20,8.0,9.7,15,1.0
2024-01-18 16:00,B,18,32.4,5.4,0.5,35.9,40,477,19,8.0,9.5,14,0.9
2024-01-18 17:00,B,18,31.8,5.4,0.5,35.2,40,473,18,8.0,9.3,14,0.9
2024-01-18 18:00,B,17,31.1,5.3,0.5,34.4,41,468,17,7.9,9.1,13,0.9
2024-01-18 19:00,B,17,30.3,5.3,0.5,33.6,42,462,16,7.9,8.8,13,0.8
2024-01-18 20:00,B,16,29.7,5.3,0.5,32.9,43,457,15,7.8,8.6,12,0.8
2024-01-18 21:00,B,16,29.1,5.2,0.5,32.2,44,452,14,7.8,8.4,12,0.8
2024-01-18 22:00,B,15,28.7,5.2,0.4,31.7,45,448,14,7.8,8.3,11,0.8
2024-01-18 23:00,B,15,28.3,5.2,0.4,31.2,45,445,13,7.8,8.2,11,0.7
2024-01-18 00:00,C,55,19.8,6.5,1.6,21.2,63,395,4,6.9,1.5,88,4.1
2024-01-18 01:00,C,54,19.5,6.5,1.6,20.9,64,393,4,6.9,1.5,88,4.0
2024-01-18 02:00,C,54,19.2,6.5,1.6,20.5,65,390,3,6.8,1.4,87,3.9
2024-01-18 03:00,C,53,19.0,6.4,1.5,20.2,65,388,3,6.8,1.4,87,3.9
2024-01-18 04:00,C,53,18.8,6.4,1.5,19.9,66,386,3,6.8,1.3,86,3.8
2024-01-18 05:00,C,52,19.1,6.4,1.5,20.3,65,389,4,6.9,1.4,86,3.9
2024-01-18 06:00,C,52,19.7,6.5,1.5,21.0,64,393,5,6.9,1.5,85,4.0
2024-01-18 07:00,C,53,20.5,6.5,1.6,22.0,63,398,6,6.9,1.6,85,4.1
2024-01-18 08:00,C,55,21.4,6.6,1.6,23.1,61,403,7,7.0,1.7,84,4.2
2024-01-18 09:00,C,56,22.0,6.6,1.7,24.0,60,407,8,7.0,1.8,84,4.2
2024-01-18 10:00,C,57,22.8,6.6,1.7,25.0,58,411,9,7.0,1.9,83,4.3
2024-01-18 11:00,C,58,23.5,6.7,1.7,25.9,57,415,10,7.1,2.0,83,4.4
2024-01-18 12:00,C,59,24.1,6.7,1.8,26.7,56,419,10,7.1,2.1,82,4.4
2024-01-18 13:00,C,60,24.6,6.7,1.8,27.4,55,422,11,7.1,2.2,82,4.5
2024-01-18 14:00,C,61,24.9,6.8,1.8,27.8,54,424,11,7.2,2.3,81,4.5
2024-01-18 15:00,C,60,24.7,6.7,1.8,27.6,55,423,11,7.1,2.2,81,4.4
2024-01-18 16:00,C,59,24.3,6.7,1.8,27.2,56,421,10,7.1,2.1,80,4.4
2024-01-18 17:00,C,58,23.7,6.7,1.7,26.6,57,417,9,7.1,2.0,80,4.3
2024-01-18 18:00,C,57,23.0,6.6,1.7,25.8,58,413,8,7.0,1.9,79,4.3
2024-01-18 19:00,C,56,22.3,6.6,1.7,24.9,60,409,7,7.0,1.8,79,4.2
2024-01-18 20:00,C,55,21.7,6.6,1.6,24.1,61,405,7,7.0,1.7,78,4.1
2024-01-18 21:00,C,54,21.2,6.5,1.6,23.4,62,401,6,6.9,1.6,78,4.1
2024-01-18 22:00,C,54,20.7,6.5,1.6,22.7,63,398,5,6.9,1.5,77,4.0
2024-01-18 23:00,C,53,20.3,6.5,1.6,22.1,63,395,5,6.9,1.5,77,4.0
2024-01-18 00:00,D,28,23.5,6.1,0.8,25.8,56,420,7,7.3,3.5,35,2.1
2024-01-18 01:00,D,27,23.2,6.1,0.8,25.4,57,418,7,7.3,3.4,35,2.0
2024-01-18 02:00,D,27,22.9,6.0,0.8,25.0,57,415,6,7.3,3.3,34,2.0
2024-01-18 03:00,D,26,22.6,6.0,0.8,24.6,58,413,6,7.3,3.3,34,1.9
2024-01-18 04:00,D,25,22.3,6.0,0.8,24.2,59,410,5,7.2,3.2,33,1.9
2024-01-18 05:00,D,25,22.5,6.0,0.8,24.5,58,412,6,7.2,3.3,33,1.9
2024-01-18 06:00,D,26,23.1,6.1,0.8,25.2,57,416,7,7.3,3.4,32,2.0
2024-01-18 07:00,D,26,23.9,6.1,0.9,26.1,56,421,8,7.3,3.5,32,2.1
2024-01-18 08:00,D,27,24.8,6.1,0.9,27.1,54,427,9,7.4,3.7,31,2.1
2024-01-18 09:00,D,27,25.5,6.2,0.9,27.9,53,432,10,7.4,3.8,31,2.2
2024-01-18 10:00,D,28,26.2,6.2,0.9,28.7,52,437,11,7.4,3.9,30,2.2
2024-01-18 11:00,D,28,26.9,6.2,0.9,29.5,51,442,12,7.5,4.1,30,2.3
2024-01-18 12:00,D,29,27.5,6.2,1.0,30.2,50,447,13,7.5,4.2,29,2.3
2024-01-18 13:00,D,29,28.0,6.3,1.0,30.8,49,451,13,7.5,4.3,29,2.4
2024-01-18 14:00,D,30,28.3,6.3,1.0,31.2,49,454,14,7.6,4.4,28,2.4
2024-01-18 15:00,D,30,28.1,6.3,1.0,31.0,49,452,13,7.5,4.4,28,2.3
2024-01-18 16:00,D,29,27.7,6.3,0.9,30.5,50,448,12,7.5,4.3,27,2.3
2024-01-18 17:00,D,29,27.1,6.2,0.9,29.8,51,443,11,7.5,4.1,27,2.2
2024-01-18 18:00,D,28,26.5,6.2,0.9,29.0,52,438,10,7.4,3.9,26,2.2
2024-01-18 19:00,D,28,25.8,6.2,0.9,28.2,53,433,9,7.4,3.8,26,2.1
2024-01-18 20:00,D,27,25.2,6.1,0.9,27.5,54,428,8,7.4,3.6,25,2.1
2024-01-18 21:00,D,27,24.6,6.1,0.9,26.8,55,424,8,7.3,3.5,25,2.0
2024-01-18 22:00,D,26,24.1,6.1,0.8,26.2,56,420,7,7.3,3.4,24,2.0
2024-01-18 23:00,D,26,23.7,6.1,0.8,25.7,57,417,7,7.3,3.4,24,2.0
